wavelength_or_wavenumber,intensity
100.8,478
102.7,474
104.7,481
106.6,473
108.5,450
110.4,428
112.4,410
114.3,393
116.2,363
118.2,347
120.1,339
122.0,332
123.9,319
125.9,310
127.8,303
129.7,294
131.7,285
133.6,281
135.5,272
137.4,276
139.4,273
141.3,259
143.2,262
145.2,246
147.1,239
149.0,241
150.9,247
152.9,251
154.8,247
156.7,244
158.7,239
160.6,230
162.5,238
164.4,239
166.4,230
168.3,222
170.2,225
172.2,227
174.1,235
176.0,238
177.9,233
179.9,231
181.8,237
183.7,232
185.7,226
187.6,225
189.5,227
191.4,231
193.4,232
195.3,227
